feature,sd15_coef,amused_coef,sd15_abs_rank,amused_abs_rank,family,sd15_sign,amused_sign,sign_agree,min_abs_rank
rich_guidance_t0_maxabs,-0.0653707870690051,0.0005246257798139596,123,640,rich_guidance_moments,-1,1,False,123
rich_latent_t3_maxabs,0.03597874143247708,0.042573843788637565,305,123,rich_latent_typicality,1,1,True,123
rich_score_t0_maxabs,0.06522715142999874,0.03746516193905298,124,147,rich_score_moments,1,1,True,124
rich_score_t1_q05,-0.025891361117012342,-0.04255112602969763,370,124,rich_score_moments,-1,-1,True,124
rich_score_t1_nearzero,0.06508683411181823,0.014313994443314947,125,415,rich_score_moments,1,1,True,125
rich_cond_uncond_cos_t2,0.06490589223196236,0.024399416678283457,126,263,rich_alignment,1,1,True,126
eps_early,-0.011254097776006122,0.04215668443975861,529,126,legacy_noise,-1,1,False,126
rich_score_norm_early,-0.011254024734881391,0.042156663787732425,530,127,rich_score_dynamics,-1,1,False,127
rich_guidance_t2_var,-0.06475013260503609,-0.019238127391263703,127,337,rich_guidance_moments,-1,-1,True,127
rich_guidance_t5_kurtosis,0.06474342558506697,0.011905961668851252,128,462,rich_guidance_moments,1,1,True,128
rich_score_t4_fft_mid,0.06457440090571695,0.01213806275088138,129,460,rich_score_fft,1,1,True,129
rich_latent_t3_q05,-0.06449852792463516,-0.01149236828869626,130,472,rich_latent_typicality,-1,-1,True,130
rich_score_t2_h_autocorr,-0.06273469965809808,0.04160376351863553,136,130,rich_score_spatial,-1,1,False,130
rich_cond_dz_orthfrac_max,0.06404781610435485,0.016575072310623662,131,384,rich_alignment,1,1,True,131
rich_guidance_t5_q95,0.03634578092822416,0.041529546053245846,303,131,rich_guidance_moments,1,1,True,131
rich_cond_uncond_cos_min,0.0638636221734941,0.02124132420826664,132,313,rich_alignment,1,1,True,132
rich_score_t1_median,-0.03171626225327387,-0.04130800263374716,336,132,rich_score_moments,-1,-1,True,132
rich_score_t1_h_autocorr,-0.06332869128830731,0.030535618003219973,133,198,rich_score_spatial,-1,1,False,133
rich_score_t3_h_autocorr,-0.062458043396315374,0.041305206173576914,137,133,rich_score_spatial,-1,1,False,133
rich_guidance_t5_nearzero,-0.06305426150614361,-0.03299128613623799,134,180,rich_guidance_moments,-1,-1,True,134
rich_latent_t3_kurtosis,0.01888298619412118,0.04077558192941418,434,135,rich_latent_typicality,1,1,True,135
rich_uncond_dz_align_slope,-0.06282713033023972,-0.027488420868543022,135,230,rich_alignment,-1,-1,True,135
rich_score_t4_absmean,-0.014264408175944899,-0.040168501584291354,489,136,rich_score_moments,-1,-1,True,136
rich_guidance_dz_orthfrac_max,-0.06214304602923882,0.007728290390742044,138,531,rich_alignment,-1,1,False,138
rich_score_t4_channel_ratio,-0.025240529818924353,-0.039791396454812084,374,138,rich_score_spatial,-1,-1,True,138
rich_cond_uncond_cos_late,-0.021824025857557928,-0.03895537323894719,414,139,rich_alignment,-1,-1,True,139
rich_guidance_t4_median,0.06183874606318902,0.0069143595985360585,140,546,rich_guidance_moments,1,1,True,140
eps_t1,0.00040233644196093334,0.03835459432438585,651,140,legacy_noise,1,1,True,140
rich_uncond_dz_align_min,-0.06170017975284127,-0.023755002058928824,141,278,rich_alignment,-1,-1,True,141
rich_score_norm_t1,0.0004024084233896503,0.03835457257728679,649,141,rich_score_dynamics,1,1,True,141
rich_score_t1_rms,0.0004024084233896503,0.03835457257728679,649,141,rich_score_moments,1,1,True,141
rich_guidance_t1_q05,-0.061691741146098815,0.0073253030044485,142,541,rich_guidance_moments,-1,1,False,142
rich_guidance_t0_absmean,0.06147401693246728,0.02319870403690352,143,285,rich_guidance_moments,1,1,True,143
rich_score_t5_channel_cv,-0.004515942664538266,-0.038240128905430916,606,144,rich_score_spatial,-1,-1,True,144
rich_uncond_dz_align_t0,-0.06132886930379027,0.009724700072262565,144,495,rich_alignment,-1,1,False,144
rich_uncond_dz_align_max,-0.06132886930379027,0.009724700072262565,144,495,rich_alignment,-1,1,False,144
rich_score_t4_channel_pr,-0.010013392220664214,0.03806708568508765,544,145,rich_score_spatial,-1,1,False,145
rich_guidance_t3_nearzero,0.05627662798638133,0.03747420805986131,168,146,rich_guidance_moments,1,1,True,146
