feature,family,paired_d,frac_fake_higher,abs_d
rich_latent_t5_nearzero,rich_latent_typicality,0.2615544696836663,0.6333333333333333,0.2615544696836663
rich_score_t4_kurtosis,rich_score_moments,0.2609257587508645,0.6333333333333333,0.2609257587508645
rich_latent_t4_maxabs,rich_latent_typicality,0.259460595766945,0.6,0.259460595766945
rich_guidance_t3_nearzero,rich_guidance_moments,0.2584279724349177,0.6333333333333333,0.2584279724349177
rich_uncond_dz_align_t0,rich_alignment,0.2578413719918517,0.6666666666666666,0.2578413719918517
rich_uncond_dz_align_max,rich_alignment,0.2578413719918517,0.6666666666666666,0.2578413719918517
rich_score_t5_kurtosis,rich_score_moments,0.25558089767824244,0.6166666666666667,0.25558089767824244
rich_latent_accel_t4,rich_latent_geometry,0.2548290261909014,0.6,0.2548290261909014
rich_latent_accel_late,rich_latent_geometry,0.2548290261909014,0.6,0.2548290261909014
rich_score_t1_fft_centroid,rich_score_fft,-0.254203543784374,0.43333333333333335,0.254203543784374
rich_latent_t0_nearzero,rich_latent_typicality,0.2537968142264,0.5166666666666667,0.2537968142264
rich_guidance_t5_q25,rich_guidance_moments,-0.25111317167219965,0.2833333333333333,0.25111317167219965
rich_latent_t2_rms,rich_latent_typicality,-0.24941742940926676,0.4,0.24941742940926676
rich_latent_t5_q05,rich_latent_typicality,0.2488524523761566,0.6166666666666667,0.2488524523761566
rich_latent_step_late,rich_latent_geometry,-0.24874731151120102,0.45,0.24874731151120102
rich_score_t1_maxabs,rich_score_moments,-0.24774099136210656,0.2833333333333333,0.24774099136210656
rich_guidance_dz_orthfrac_t2,rich_alignment,0.2474600608783043,0.5333333333333333,0.2474600608783043
rich_latent_path_straightness,rich_latent_geometry,0.24606850094706922,0.6166666666666667,0.24606850094706922
rich_score_t3_fft_high_low,rich_score_fft,-0.24521376181892268,0.4166666666666667,0.24521376181892268
rich_score_t4_v_autocorr,rich_score_spatial,0.24250394054851693,0.5333333333333333,0.24250394054851693
rich_latent_t3_extreme3,rich_latent_typicality,0.24145474752665277,0.5166666666666667,0.24145474752665277
rich_latent_t1_q95,rich_latent_typicality,-0.23991719779310702,0.4666666666666667,0.23991719779310702
rich_latent_t0_q95,rich_latent_typicality,-0.2389016281072121,0.4666666666666667,0.2389016281072121
rich_guidance_t4_mean,rich_guidance_moments,0.23600894809193657,0.6,0.23600894809193657
rich_guidance_dz_orthfrac_t4,rich_alignment,-0.23593786162446231,0.43333333333333335,0.23593786162446231
guidance_auc,legacy_guidance,-0.23572643910035562,0.3,0.23572643910035562
guidance_max,legacy_guidance,-0.23432161273294128,0.4,0.23432161273294128
rich_cond_uncond_cos_auc,rich_alignment,0.23425555692558347,0.65,0.23425555692558347
rich_score_t3_fft_low,rich_score_fft,0.23318995063602024,0.6,0.23318995063602024
rich_guidance_t1_q75,rich_guidance_moments,-0.2331566993513214,0.35,0.2331566993513214
rich_uncond_dz_align_std,rich_alignment,0.232965385280529,0.6166666666666667,0.232965385280529
rich_latent_step_t4,rich_latent_geometry,-0.22925753244835934,0.45,0.22925753244835934
rich_score_t0_channel_pr,rich_score_spatial,0.22923062662418717,0.6166666666666667,0.22923062662418717
rich_guidance_t2_nearzero,rich_guidance_moments,0.22919272262139045,0.6,0.22919272262139045
rich_latent_t3_skew,rich_latent_typicality,-0.2288697999963363,0.4166666666666667,0.2288697999963363
rich_guidance_t1_maxabs,rich_guidance_moments,-0.22827466706589844,0.4166666666666667,0.22827466706589844
rich_latent_t2_skew,rich_latent_typicality,-0.22569889884638972,0.38333333333333336,0.22569889884638972
rich_latent_accel_std,rich_latent_geometry,-0.2256050004236841,0.4166666666666667,0.2256050004236841
rich_guidance_cond_align_auc,rich_alignment,-0.22399589221172886,0.4166666666666667,0.22399589221172886
guidance_late,legacy_guidance,0.22158373557624042,0.5666666666666667,0.22158373557624042
rich_guidance_t0_q05,rich_guidance_moments,-0.21961576132256308,0.4666666666666667,0.21961576132256308
rich_guidance_t1_q25,rich_guidance_moments,0.2195482950294283,0.6333333333333333,0.2195482950294283
rich_cond_dz_align_std,rich_alignment,0.2192323507468065,0.6,0.2192323507468065
guidance_slope,legacy_guidance,0.2186713300713646,0.6,0.2186713300713646
rich_cond_dz_align_t3,rich_alignment,-0.2177095031373645,0.35,0.2177095031373645
rich_guidance_t1_absmean,rich_guidance_moments,-0.21687900054745252,0.35,0.21687900054745252
rich_score_t1_median,rich_score_moments,-0.21532029627646487,0.4166666666666667,0.21532029627646487
rich_score_t2_median,rich_score_moments,-0.2122592044175908,0.4,0.2122592044175908
acceleration_abs_mean,legacy_geometry,-0.21222819153958405,0.45,0.21222819153958405
endpoint_mean,endpoint,-0.2119990851776125,0.4,0.2119990851776125
rich_guidance_t0_rms,rich_guidance_moments,0.2107695902100757,0.55,0.2107695902100757
guidance_t0,legacy_guidance,0.21076938806030227,0.55,0.21076938806030227
rich_score_crosscos_0_3,rich_crosstime,0.20985632499853546,0.6166666666666667,0.20985632499853546
rich_latent_t2_mean,rich_latent_typicality,-0.20940919741929806,0.4,0.20940919741929806
rich_latent_t1_mean,rich_latent_typicality,-0.20843286390308924,0.4,0.20843286390308924
