curve,group,step,n,mean,median,std
score_norm,SD14,5,5,0.8220138938250873,0.819787508840357,0.04127660416735331
score_norm,SDXL,0,5,0.2538446792791131,0.25078258240947554,0.04840602286372639
score_norm,SDXL,1,5,0.5218240778430885,0.5188179534752385,0.03721820153789903
score_norm,SDXL,2,5,0.646206987006485,0.6585327609581917,0.032227222446981695
score_norm,SDXL,3,5,0.7377984754530205,0.7479996005303613,0.041519364945369654
score_norm,SDXL,4,5,0.8007236269881591,0.8060105154138056,0.04227228227543626
score_norm,SDXL,5,5,0.8418961343588917,0.8439026441753553,0.03932487687639467
score_norm,VQDM,0,5,0.23180774879073723,0.22166622249006304,0.06512660306272591
score_norm,VQDM,1,5,0.5811701152635,0.5665173901005562,0.05076562847680461
score_norm,VQDM,2,5,0.7096602072986584,0.696308747233516,0.029823775317383065
score_norm,VQDM,3,5,0.7947991879098198,0.7940217461676962,0.027788425091374955
score_norm,VQDM,4,5,0.8503529748880034,0.8524889338875804,0.03288163538849104
score_norm,VQDM,5,5,0.88239964004194,0.8948478976978618,0.033340074782596256
score_change,real,0,40,0.5168458723968741,0.5142833696823295,0.03499629155400319
score_change,real,1,40,0.22095465724915844,0.2152616789841548,0.02524508543050303
score_change,real,2,40,0.183571017946187,0.18513204834706082,0.028953602250648
score_change,real,3,40,0.11625756273464369,0.11655138791547577,0.0280895708714332
score_change,real,4,40,0.07017149982541163,0.07067071328192986,0.016130337075936252
score_change,ADM,0,5,0.5536722982250945,0.5546171635071123,0.02645560643507891
score_change,ADM,1,5,0.23888800854786826,0.24021600550675057,0.02900593581998781
score_change,ADM,2,5,0.19504862084539404,0.18010408280061652,0.030059248967150943
score_change,ADM,3,5,0.10212715088686027,0.1119964541017892,0.020752869171565987
score_change,ADM,4,5,0.06189424739319528,0.0603393120601378,0.010170437889413525
score_change,BigGAN,0,5,0.5428684756446254,0.5564742337709636,0.03900387365153483
score_change,BigGAN,1,5,0.21097393882147095,0.21699636488618115,0.02750440044504775
score_change,BigGAN,2,5,0.16879756203018234,0.17748601146963378,0.05070909466715402
score_change,BigGAN,3,5,0.09707884404489579,0.08642641189818479,0.020713395736841427
score_change,BigGAN,4,5,0.06875731230641088,0.07359394176992821,0.015350487729884841
score_change,DALLE2,0,5,0.5227092015783744,0.5093147136705848,0.07610101772096547
score_change,DALLE2,1,5,0.21538465808029933,0.22892619257921593,0.0226247072771188
score_change,DALLE2,2,5,0.17928337070340547,0.18210965082183408,0.02745940307952006
score_change,DALLE2,3,5,0.10954643280095633,0.12797859959367114,0.040148466026858176
score_change,DALLE2,4,5,0.08616770761657175,0.08808176424451783,0.028502426007990144
score_change,GLIDE,0,5,0.5541576537176506,0.5430462272822999,0.03174752345753645
score_change,GLIDE,1,5,0.16791594992174047,0.14728264418551726,0.038781669274137
score_change,GLIDE,2,5,0.1401876373808801,0.10575462894392905,0.050095343835810255
score_change,GLIDE,3,5,0.08189492256315087,0.07531042331130809,0.016626177546934656
score_change,GLIDE,4,5,0.0601732747677852,0.05265630107331659,0.013851667044870153
score_change,Midjourney,0,5,0.5134395914882814,0.5027846905262117,0.014267837240531104
score_change,Midjourney,1,5,0.2212245378085703,0.2266814114857551,0.017133943372973356
score_change,Midjourney,2,5,0.1501487582250352,0.15253102742587438,0.011165318664507245
score_change,Midjourney,3,5,0.1091761337838019,0.10565284861393168,0.019734069788661494
score_change,Midjourney,4,5,0.0690422582255558,0.07156935147704757,0.006534360720271294
score_change,SD14,0,5,0.5004972040519284,0.4886698760722738,0.02547909282024996
score_change,SD14,1,5,0.18166602123375108,0.17739150028697923,0.0332234012535207
score_change,SD14,2,5,0.1469225475258726,0.13813436429128856,0.03640347486963561
score_change,SD14,3,5,0.11143026503656284,0.11239117321173271,0.02110998251542472
score_change,SD14,4,5,0.0757108642857369,0.07638384084596395,0.008761828766486034
score_change,SDXL,0,5,0.5050705282744234,0.49603930505826643,0.026944165612722625
score_change,SDXL,1,5,0.2043935846210602,0.19733016173292378,0.02154903990140049
score_change,SDXL,2,5,0.1588032871761527,0.14658909483739233,0.02387012498665075
score_change,SDXL,3,5,0.11571697187267416,0.11547639226807445,0.008040250004019171
score_change,SDXL,4,5,0.07227525456089715,0.08035988200145433,0.013537361550845617
score_change,VQDM,0,5,0.5543837078504803,0.5592978349889106,0.04860009642535148
score_change,VQDM,1,5,0.2119793511613876,0.20002763293594136,0.04246221955935069
score_change,VQDM,2,5,0.1464429452669836,0.13143807803033997,0.03386376267402396
score_change,VQDM,3,5,0.09298106770547263,0.0751946186139341,0.04006497233575985
score_change,VQDM,4,5,0.06350207063379422,0.06437404468738143,0.01663863066943475
score_alignment,real,0,40,0.9897249416101468,0.9909112443699084,0.004758106266730482
score_alignment,real,1,40,0.9168125150419616,0.914429748939579,0.02803409348264033
score_alignment,real,2,40,0.6641902248244609,0.672306293848224,0.08368985730776532
score_alignment,real,3,40,0.4802062553576434,0.46698259750226134,0.1109878567617071
score_alignment,real,4,40,0.317177614673039,0.30983719890308137,0.10032789306831283
score_alignment,real,5,40,0.2269092862436867,0.23027873786944164,0.10761116502951776
score_alignment,ADM,0,5,0.9896254796659918,0.9902178668458966,0.0025010578299452923
score_alignment,ADM,1,5,0.9516535777739852,0.95119454241275,0.01203614735516002
score_alignment,ADM,2,5,0.7683932784775509,0.7741563893107967,0.039682212261825146
score_alignment,ADM,3,5,0.6225578112825199,0.6292036680668472,0.0778434820762546
score_alignment,ADM,4,5,0.4232845121008437,0.4092848118586095,0.07247001870227944
score_alignment,ADM,5,5,0.27915624444870896,0.2719405211876574,0.05018201261370765
score_alignment,BigGAN,0,5,0.9891366115253689,0.9890882672268742,0.004870187941742395
